team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall,new_overall
FFC,Baj Maan,31,g,90,0,6,8,1,0.13,0.9
PFC,Callum Irving,13,g,90,0,4,5,0,0.56,0.5
FFC,Triston Henry,1,g,90,0,3,4,1,0.79,0.43
ATO,Ignacio Zabal Almazán,1,g,90,0,3,5,0,0.62,0.43
PFC,Nolan Wirth,1,g,90,0,3,5,0,0.23,0.43
VFC,James Pantemis,1,g,90,0,3,4,0,0.55,0.37
HFX,Christian Oxner,50,g,90,0,3,4,0,0.48,0.37
HFX,Jason Beaulieu,1,g,90,0,2,5,0,0.24,0.37
FCE,Dylon Powley,13,g,90,0,3,4,0,0.06,0.37
FCE,Connor James,1,g,90,0,2,4,0,0.36,0.3
CFC,Nikolas Giantsopoulos,22,g,90,0,2,3,1,0.07,0.3
Y9,Nathan Ingham,29,g,90,0,2,3,0,0.44,0.23
CFC,Marco Carducci,1,g,90,0,1,2,0,0.47,0.1
Y9,Ezequiel Carrasco,37,g,90,0,1,2,0,0.03,0.1
