team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall
CFC,Nico Pasquotti,17,f,90,0,0,0,1,1,29,5,15,2,0.65
HFX,João Morelli Neto,22,f,72,1,0,0,1,1,21,1,11,0,0.49
FFC,Anthony Novak,23,f,66,1,0,0,1,1,14,0,7,0,0.41
CFC,Oliver Minatel,7,f,80,0,3,0,1,0,26,0,9,0,0.38
Y9,Lowell Wright,80,f,36,1,0,0,2,1,5,0,3,0,0.37
PFC,Terran Campbell,14,f,72,0,1,0,2,0,7,1,9,1,0.36
FFC,Christopher Nanco,11,f,66,0,0,0,1,1,3,0,10,0,0.3
HFX,Ibrahima Sanoh,9,f,9,1,0,0,1,1,2,1,2,0,0.3
CFC,Marcus Haber,29,f,24,0,0,0,1,1,11,1,6,0,0.27
FFC,Kadell Thomas,17,f,24,0,1,0,1,0,7,1,8,1,0.25
HFX,Akeem Garcia,11,f,34,0,0,0,1,1,9,0,2,0,0.23
HFX,Alessandro Riggi,10,f,56,0,0,0,0,0,7,1,9,1,0.21
CFC,Jordan Brown,9,f,66,0,1,0,1,0,10,0,1,0,0.19
FFC,Marcel Zajac,9,f,45,0,0,0,1,0,7,1,6,0,0.18
PFC,Alejandro Díaz Liceága,9,f,18,0,1,0,0,0,6,0,4,1,0.15
FFC,Molham Babouli,19,f,24,0,0,0,0,0,6,0,4,1,0.12
Y9,Álvaro Rivero Sánchez,7,f,54,0,0,0,0,0,5,0,4,0,0.1
Y9,Gabriel Monteiro Vasconcelos,99,f,54,0,0,0,0,0,8,0,1,0,0.09
CFC,Aribim Pepple,24,f,10,0,1,0,0,0,3,0,2,0,0.06
